Respondent,YearsCodingProf
36702,0-2 years
36703,0-2 years
36704,0-2 years
36705,0-2 years
36706,15-17 years
36707,3-5 years
36709,0-2 years
36710,3-5 years
36711,3-5 years
36712,NA
36714,0-2 years
36715,21-23 years
36716,0-2 years
36717,0-2 years
36718,6-8 years
36719,6-8 years
36720,NA
36721,0-2 years
36722,3-5 years
36723,15-17 years
36724,NA
36725,NA
36726,6-8 years
36727,0-2 years
36728,0-2 years
36729,3-5 years
36730,0-2 years
36732,3-5 years
36733,3-5 years
36734,NA
36736,NA
36737,3-5 years
36738,9-11 years
36739,0-2 years
36742,6-8 years
36744,NA
36746,18-20 years
36747,0-2 years
36748,6-8 years
36751,NA
36752,9-11 years
36753,0-2 years
36755,0-2 years
36756,0-2 years
36757,NA
36758,0-2 years
36759,3-5 years
36760,3-5 years
36761,3-5 years
36762,9-11 years
36763,3-5 years
36764,6-8 years
36769,NA
36771,0-2 years
36773,0-2 years
36774,18-20 years
36775,6-8 years
36776,0-2 years
36777,NA
36779,15-17 years
36780,18-20 years
36781,NA
36783,0-2 years
36784,0-2 years
36785,15-17 years
36786,NA
36789,3-5 years
36790,3-5 years
36791,12-14 years
36792,NA
36793,6-8 years
36794,0-2 years
36795,21-23 years
36796,27-29 years
36797,3-5 years
36798,0-2 years
36799,0-2 years
36800,3-5 years
36801,12-14 years
36802,3-5 years
36803,9-11 years
36804,NA
36805,NA
36806,18-20 years
36807,NA
36808,3-5 years
36809,0-2 years
36810,0-2 years
36811,12-14 years
36813,3-5 years
36814,12-14 years
36815,6-8 years
36816,NA
36817,3-5 years
36818,0-2 years
36819,NA
36820,6-8 years
36821,12-14 years
36822,0-2 years
36823,6-8 years
36824,6-8 years
36827,0-2 years
36828,0-2 years
36830,3-5 years
36831,NA
36832,9-11 years
36833,3-5 years
36834,0-2 years
36835,0-2 years
36838,0-2 years
36839,0-2 years
36840,0-2 years
36842,15-17 years
36843,0-2 years
36845,0-2 years
36849,NA
36852,0-2 years
36854,0-2 years
36856,6-8 years
36857,6-8 years
36859,9-11 years
36860,9-11 years
36862,NA
36864,0-2 years
36866,15-17 years
36868,NA
36870,3-5 years
36871,15-17 years
36872,3-5 years
36873,3-5 years
36875,3-5 years
36876,0-2 years
36877,3-5 years
36878,3-5 years
36879,6-8 years
36881,0-2 years
36883,3-5 years
36884,NA
36886,6-8 years
36887,3-5 years
36888,6-8 years
36889,9-11 years
36892,3-5 years
36893,12-14 years
36894,9-11 years
36895,0-2 years
36896,NA
36897,3-5 years
36898,0-2 years
36899,NA
36900,3-5 years
36901,0-2 years
36903,3-5 years
36905,6-8 years
36906,3-5 years
36909,3-5 years
36911,6-8 years
36913,9-11 years
36914,6-8 years
36915,0-2 years
36916,15-17 years
36917,NA
36918,6-8 years
36919,NA
36920,6-8 years
36922,0-2 years
36925,15-17 years
36928,18-20 years
36931,0-2 years
36932,3-5 years
36935,9-11 years
36937,15-17 years
36938,0-2 years
36939,NA
36940,0-2 years
36941,0-2 years
36944,18-20 years
36945,6-8 years
36947,NA
36950,18-20 years
36952,21-23 years
36956,21-23 years
36957,6-8 years
36958,3-5 years
36959,9-11 years
36960,3-5 years
36961,3-5 years
36965,6-8 years
36966,0-2 years
36968,15-17 years
36970,0-2 years
36971,6-8 years
36974,6-8 years
36975,0-2 years
36976,0-2 years
36977,NA
36978,9-11 years
36979,3-5 years
36981,3-5 years
36983,3-5 years
36986,18-20 years
36987,15-17 years
36988,3-5 years
36989,9-11 years
36990,3-5 years
36991,15-17 years
36993,9-11 years
36995,6-8 years
36997,9-11 years
36998,18-20 years
36999,3-5 years
37000,0-2 years
37001,NA
37002,6-8 years
37003,3-5 years
37008,3-5 years
37009,3-5 years
37010,9-11 years
37011,3-5 years
37012,0-2 years
37014,0-2 years
37015,NA
37016,12-14 years
37017,12-14 years
37018,6-8 years
37019,NA
37021,9-11 years
37022,6-8 years
37023,NA
37024,NA
37025,0-2 years
37027,NA
37028,3-5 years
37029,0-2 years
37031,9-11 years
37033,0-2 years
37034,3-5 years
37035,18-20 years
37036,6-8 years
37038,0-2 years
37039,0-2 years
37041,3-5 years
37042,3-5 years
37043,NA
37044,3-5 years
37045,3-5 years
37046,NA
37049,0-2 years
37050,NA
37051,3-5 years
37052,12-14 years
37053,NA
37055,3-5 years
37056,6-8 years
37057,9-11 years
37058,12-14 years
37059,30 or more years
37060,3-5 years
37061,9-11 years
37062,NA
37064,6-8 years
37065,3-5 years
37066,0-2 years
37067,NA
37068,3-5 years
37069,NA
37070,NA
37071,NA
37074,12-14 years
37075,0-2 years
37076,0-2 years
37077,0-2 years
37078,6-8 years
37079,0-2 years
37080,6-8 years
37081,0-2 years
37083,NA
37084,3-5 years
37086,0-2 years
37087,3-5 years
37088,0-2 years
37089,6-8 years
37090,3-5 years
37091,12-14 years
37092,0-2 years
37093,0-2 years
37094,3-5 years
37095,3-5 years
37097,3-5 years
37098,3-5 years
37099,6-8 years
37100,12-14 years
37101,9-11 years
37102,9-11 years
37103,0-2 years
37105,12-14 years
37106,3-5 years
37107,9-11 years
37108,NA
37109,0-2 years
37110,9-11 years
37111,3-5 years
37113,NA
37114,NA
37115,3-5 years
37117,3-5 years
37118,NA
37119,0-2 years
37120,3-5 years
37121,21-23 years
37122,0-2 years
37124,3-5 years
37127,0-2 years
37129,3-5 years
37130,NA
37131,3-5 years
37132,9-11 years
37133,15-17 years
37134,3-5 years
37135,3-5 years
37136,21-23 years
37139,3-5 years
37140,15-17 years
37141,9-11 years
37142,0-2 years
37143,9-11 years
37144,18-20 years
37147,3-5 years
37149,3-5 years
37150,6-8 years
37153,0-2 years
37156,6-8 years
37157,NA
37158,3-5 years
37159,9-11 years
37161,0-2 years
37162,12-14 years
37163,12-14 years
37166,3-5 years
37168,3-5 years
37169,6-8 years
37170,6-8 years
37172,0-2 years
37173,6-8 years
37175,NA
37176,9-11 years
37177,18-20 years
37178,3-5 years
37181,3-5 years
37183,0-2 years
37185,0-2 years
37190,0-2 years
37191,3-5 years
37192,6-8 years
37193,0-2 years
37194,0-2 years
37195,3-5 years
37197,6-8 years
37199,NA
37200,9-11 years
37201,0-2 years
37202,3-5 years
37203,0-2 years
37204,9-11 years
37205,3-5 years
37207,9-11 years
37208,0-2 years
37209,NA
37210,6-8 years
37212,15-17 years
37213,6-8 years
37216,0-2 years
37219,6-8 years
37220,0-2 years
37221,6-8 years
37222,15-17 years
37224,18-20 years
37226,6-8 years
37227,0-2 years
37228,0-2 years
37230,0-2 years
37232,NA
37233,6-8 years
37234,3-5 years
37235,NA
37236,0-2 years
37237,18-20 years
37238,NA
37241,0-2 years
37242,NA
37243,0-2 years
37244,9-11 years
37245,0-2 years
37246,6-8 years
37247,NA
37248,0-2 years
37249,NA
37251,0-2 years
37252,6-8 years
37254,9-11 years
37256,0-2 years
37257,3-5 years
37258,NA
37261,NA
37265,9-11 years
37266,6-8 years
37267,6-8 years
37268,12-14 years
37269,0-2 years
37271,3-5 years
37272,NA
37273,0-2 years
37274,0-2 years
37276,0-2 years
37278,3-5 years
37279,6-8 years
37281,0-2 years
37283,NA
37284,3-5 years
37285,18-20 years
37286,0-2 years
37287,9-11 years
37288,NA
37289,9-11 years
37290,9-11 years
37292,3-5 years
37293,0-2 years
37294,0-2 years
37295,0-2 years
37297,NA
37298,15-17 years
37300,0-2 years
37301,3-5 years
37303,0-2 years
37304,0-2 years
37307,3-5 years
37308,0-2 years
37309,6-8 years
37310,0-2 years
37311,3-5 years
37313,NA
37315,3-5 years
37317,9-11 years
37318,0-2 years
37320,24-26 years
37321,0-2 years
37322,18-20 years
37324,NA
37326,6-8 years
37328,15-17 years
37329,0-2 years
37330,27-29 years
37331,0-2 years
37332,0-2 years
37334,12-14 years
37336,3-5 years
37338,18-20 years
37339,9-11 years
37340,9-11 years
37341,9-11 years
37343,0-2 years
37344,0-2 years
37345,3-5 years
37346,0-2 years
37347,3-5 years
37348,15-17 years
37349,NA
37350,3-5 years
37351,21-23 years
37352,6-8 years
37353,0-2 years
37354,NA
37355,3-5 years
37358,3-5 years
37359,NA
37360,0-2 years
37361,0-2 years
37363,NA
37366,0-2 years
37367,9-11 years
37371,0-2 years
37372,30 or more years
37374,0-2 years
37376,3-5 years
37379,9-11 years
37382,15-17 years
37383,6-8 years
37384,NA
37385,NA
37386,NA
37387,6-8 years
37389,3-5 years
37390,6-8 years
37391,0-2 years
37392,6-8 years
37393,NA
37394,0-2 years
37395,15-17 years
37396,0-2 years
37397,3-5 years
37398,NA
37399,18-20 years
37400,3-5 years
37401,3-5 years
37402,3-5 years
37404,9-11 years
37405,NA
37406,NA
37407,NA
37408,NA
37409,NA
37410,3-5 years
37411,9-11 years
37412,21-23 years
37413,NA
37415,3-5 years
37416,0-2 years
37417,3-5 years
37418,6-8 years
37419,0-2 years
37420,0-2 years
37421,9-11 years
37422,NA
37423,NA
37424,NA
37427,NA
37429,12-14 years
37431,6-8 years
37432,3-5 years
37434,3-5 years
37435,0-2 years
37436,15-17 years
37437,3-5 years
37438,3-5 years
37439,NA
37440,0-2 years
37441,6-8 years
37442,0-2 years
37443,3-5 years
37446,9-11 years
37448,NA
37450,9-11 years
37451,3-5 years
37452,9-11 years
37454,3-5 years
37455,6-8 years
37456,6-8 years
37457,NA
37459,15-17 years
37460,9-11 years
37461,0-2 years
37462,12-14 years
37463,6-8 years
37465,9-11 years
37466,NA
37467,3-5 years
37469,3-5 years
37470,6-8 years
37471,6-8 years
37472,9-11 years
37473,0-2 years
37474,3-5 years
37475,3-5 years
37476,0-2 years
37478,9-11 years
37479,NA
37480,6-8 years
37482,NA
37483,3-5 years
37486,0-2 years
37487,3-5 years
37488,0-2 years
37489,3-5 years
37490,6-8 years
37491,18-20 years
37493,3-5 years
37494,0-2 years
37495,NA
37497,9-11 years
37498,12-14 years
37500,15-17 years
37502,9-11 years
37503,9-11 years
37504,9-11 years
37505,3-5 years
37506,NA
37508,9-11 years
37509,3-5 years
37510,9-11 years
37511,0-2 years
37512,0-2 years
37513,0-2 years
37515,6-8 years
37516,NA
37517,0-2 years
37518,6-8 years
37519,0-2 years
37520,0-2 years
37522,3-5 years
37523,3-5 years
37524,0-2 years
37525,0-2 years
37526,6-8 years
37529,NA
37530,3-5 years
37531,3-5 years
37532,3-5 years
37533,0-2 years
37534,NA
37535,21-23 years
37538,0-2 years
37539,0-2 years
37541,3-5 years
37544,3-5 years
37545,NA
37547,NA
37548,0-2 years
37550,0-2 years
37552,0-2 years
37553,NA
37556,3-5 years
37557,6-8 years
37558,NA
37559,3-5 years
37560,3-5 years
37561,3-5 years
37562,NA
37563,0-2 years
37566,6-8 years
37567,6-8 years
37568,0-2 years
37570,15-17 years
37571,3-5 years
37572,0-2 years
37573,6-8 years
37575,21-23 years
37576,27-29 years
37577,0-2 years
37578,0-2 years
37579,3-5 years
37580,3-5 years
37582,0-2 years
37584,6-8 years
37585,3-5 years
37586,12-14 years
37587,9-11 years
37588,0-2 years
37589,3-5 years
37590,0-2 years
37591,NA
37593,3-5 years
37594,0-2 years
37595,3-5 years
37596,NA
37597,24-26 years
37598,3-5 years
37599,0-2 years
37600,12-14 years
37602,3-5 years
37604,3-5 years
37605,3-5 years
37608,NA
37610,0-2 years
37611,NA
37613,NA
37615,0-2 years
37616,NA
37617,21-23 years
37618,6-8 years
37619,9-11 years
37620,6-8 years
37621,0-2 years
37623,3-5 years
37625,0-2 years
37627,6-8 years
37628,15-17 years
37629,NA
37630,9-11 years
37631,NA
37632,6-8 years
37639,0-2 years
37641,0-2 years
37643,0-2 years
37644,3-5 years
37645,0-2 years
37646,3-5 years
37648,0-2 years
37649,0-2 years
37651,15-17 years
37652,12-14 years
37653,NA
37654,6-8 years
37655,15-17 years
37656,3-5 years
37657,NA
37658,NA
37659,0-2 years
37660,3-5 years
37661,18-20 years
37662,NA
37665,NA
37667,6-8 years
37668,3-5 years
37669,3-5 years
37670,3-5 years
37671,NA
37673,21-23 years
37674,6-8 years
37675,3-5 years
37676,3-5 years
37677,0-2 years
37678,21-23 years
37679,3-5 years
37680,NA
37683,9-11 years
37685,NA
37686,NA
37687,9-11 years
37688,3-5 years
37689,3-5 years
37690,3-5 years
37691,3-5 years
37693,NA
37695,9-11 years
37696,6-8 years
37699,3-5 years
37701,3-5 years
37702,0-2 years
37703,3-5 years
37705,12-14 years
37708,NA
37709,3-5 years
37710,3-5 years
37712,NA
37713,6-8 years
37714,6-8 years
37716,3-5 years
37717,3-5 years
37720,6-8 years
37721,30 or more years
37722,18-20 years
37724,NA
37725,3-5 years
37727,NA
37730,3-5 years
37732,NA
37733,0-2 years
37735,3-5 years
37736,NA
37737,3-5 years
37738,6-8 years
37739,12-14 years
37740,0-2 years
37741,12-14 years
37742,3-5 years
37743,9-11 years
37744,6-8 years
37749,3-5 years
37752,12-14 years
37756,6-8 years
37757,0-2 years
37759,3-5 years
37760,15-17 years
37761,0-2 years
37762,6-8 years
37763,NA
37764,9-11 years
37765,3-5 years
37766,3-5 years
37767,3-5 years
37768,NA
37769,12-14 years
37770,0-2 years
37772,0-2 years
37773,NA
37774,0-2 years
37775,NA
37776,6-8 years
37778,NA
37779,NA
37780,NA
37782,24-26 years
37783,NA
37784,0-2 years
37785,18-20 years
37787,9-11 years
37788,12-14 years
37790,0-2 years
37791,24-26 years
37792,3-5 years
37793,9-11 years
37794,0-2 years
37795,6-8 years
37796,6-8 years
37798,3-5 years
37800,0-2 years
37802,0-2 years
37803,0-2 years
37804,6-8 years
37805,NA
37806,3-5 years
37807,15-17 years
37808,9-11 years
37809,NA
37811,0-2 years
37812,0-2 years
37813,0-2 years
37814,3-5 years
37816,0-2 years
37818,9-11 years
37820,3-5 years
37821,NA
37822,3-5 years
37824,21-23 years
37826,0-2 years
37827,3-5 years
37828,6-8 years
37829,0-2 years
37832,0-2 years
37833,3-5 years
37834,0-2 years
37835,6-8 years
37836,3-5 years
37837,12-14 years
37838,3-5 years
37839,6-8 years
37842,3-5 years
37843,3-5 years
37845,18-20 years
37846,9-11 years
37847,9-11 years
37848,3-5 years
37851,3-5 years
37852,6-8 years
37853,3-5 years
37856,NA
37857,12-14 years
37858,0-2 years
37861,0-2 years
37862,3-5 years
37863,3-5 years
37866,NA
37868,0-2 years
37869,0-2 years
37871,0-2 years
37872,0-2 years
37873,3-5 years
37875,12-14 years
37876,NA
37878,3-5 years
37879,NA
37881,3-5 years
37884,3-5 years
37885,3-5 years
37886,3-5 years
37887,3-5 years
37888,NA
37889,3-5 years
37891,NA
37893,3-5 years
37894,3-5 years
37897,0-2 years
37898,6-8 years
37899,3-5 years
37900,3-5 years
37901,0-2 years
37902,NA
37903,6-8 years
37906,3-5 years
37908,NA
37910,0-2 years
37911,3-5 years
37913,0-2 years
37914,NA
37915,3-5 years
37916,0-2 years
37918,3-5 years
37921,24-26 years
37922,9-11 years
37925,6-8 years
37926,3-5 years
37927,3-5 years
37933,0-2 years
37934,6-8 years
37935,9-11 years
37937,12-14 years
37938,9-11 years
37939,6-8 years
37941,9-11 years
37942,3-5 years
37943,18-20 years
37944,3-5 years
37945,3-5 years
37946,21-23 years
37947,6-8 years
37950,9-11 years
37953,3-5 years
37954,0-2 years
37957,0-2 years
37959,3-5 years
37960,3-5 years
37961,NA
37963,0-2 years
37964,6-8 years
37965,9-11 years
37967,24-26 years
37968,3-5 years
37970,0-2 years
37971,0-2 years
37972,6-8 years
37973,9-11 years
37975,NA
37979,3-5 years
37981,3-5 years
37983,6-8 years
37984,3-5 years
37985,15-17 years
37987,0-2 years
37988,0-2 years
37989,0-2 years
37990,0-2 years
37991,3-5 years
37992,6-8 years
37994,12-14 years
37996,0-2 years
38001,0-2 years
38002,0-2 years
38003,3-5 years
38005,9-11 years
38006,6-8 years
38008,0-2 years
38009,NA
38010,0-2 years
38011,3-5 years
38012,NA
38014,NA
38015,3-5 years
38018,6-8 years
38019,15-17 years
38021,0-2 years
38022,6-8 years
38025,15-17 years
38026,0-2 years
38027,NA
38028,3-5 years
38029,6-8 years
38030,3-5 years
38031,12-14 years
38032,3-5 years
38033,3-5 years
38035,NA
38036,9-11 years
38037,3-5 years
38039,0-2 years
38041,0-2 years
38042,NA
38046,12-14 years
38047,3-5 years
38048,9-11 years
38049,6-8 years
38050,27-29 years
38051,9-11 years
38052,0-2 years
38053,21-23 years
38054,3-5 years
38055,0-2 years
38056,0-2 years
38057,3-5 years
38059,NA
38060,0-2 years
38063,3-5 years
38064,3-5 years
38068,24-26 years
38069,3-5 years
38070,3-5 years
38071,6-8 years
38072,3-5 years
38073,9-11 years
38074,18-20 years
38075,12-14 years
38076,3-5 years
38077,0-2 years
38078,3-5 years
38079,3-5 years
38082,3-5 years
38084,3-5 years
38085,9-11 years
38086,3-5 years
38087,0-2 years
38088,0-2 years
38089,18-20 years
38090,30 or more years
38091,18-20 years
38092,6-8 years
38093,NA
38095,9-11 years
38096,3-5 years
38099,3-5 years
38101,NA
38102,6-8 years
38103,12-14 years
38104,6-8 years
38105,3-5 years
38107,0-2 years
38109,15-17 years
38110,NA
38111,15-17 years
38112,3-5 years
38113,9-11 years
38115,12-14 years
38116,9-11 years
38118,3-5 years
38119,3-5 years
38121,6-8 years
38123,0-2 years
38124,6-8 years
38128,9-11 years
38129,NA
38130,NA
38132,18-20 years
38136,3-5 years
38137,0-2 years
38138,NA
38139,6-8 years
38140,3-5 years
38141,0-2 years
38143,3-5 years
38144,0-2 years
38145,3-5 years
38146,0-2 years
38147,6-8 years
38148,3-5 years
38149,9-11 years
38150,12-14 years
38154,0-2 years
38155,6-8 years
38158,6-8 years
38159,3-5 years
38160,NA
38161,0-2 years
38162,6-8 years
38163,0-2 years
38165,NA
38166,6-8 years
38167,12-14 years
38168,9-11 years
38170,0-2 years
38172,6-8 years
38173,0-2 years
38175,6-8 years
38176,3-5 years
38177,6-8 years
38181,0-2 years
38182,3-5 years
38183,NA
38184,6-8 years
38185,0-2 years
38186,3-5 years
38187,0-2 years
38188,NA
38190,3-5 years
38191,3-5 years
38193,6-8 years
38194,0-2 years
38197,6-8 years
38199,3-5 years
38200,0-2 years
38202,6-8 years
38204,3-5 years
38205,6-8 years
38206,12-14 years
38207,6-8 years
38210,0-2 years
38211,0-2 years
38213,3-5 years
38214,NA
38215,6-8 years
38216,6-8 years
38218,3-5 years
38219,NA
38220,27-29 years
38221,3-5 years
38222,3-5 years
38224,12-14 years
38226,3-5 years
38229,0-2 years
38231,24-26 years
38235,3-5 years
38236,0-2 years
38238,NA
38239,9-11 years
38241,NA
38242,0-2 years
38243,3-5 years
38245,0-2 years
38247,NA
38248,NA
38251,3-5 years
38253,12-14 years
38254,3-5 years
38255,9-11 years
38256,3-5 years
38258,3-5 years
38259,0-2 years
38260,0-2 years
38261,6-8 years
38263,0-2 years
38265,3-5 years
38266,18-20 years
38269,0-2 years
38270,3-5 years
38275,0-2 years
38276,9-11 years
38278,0-2 years
38279,3-5 years
38280,NA
38282,0-2 years
38284,3-5 years
38285,6-8 years
38287,NA
38288,0-2 years
38289,9-11 years
38290,NA
38291,0-2 years
38292,6-8 years
38293,15-17 years
38294,24-26 years
38296,3-5 years
38297,18-20 years
38298,0-2 years
38299,NA
38300,6-8 years
38302,NA
38304,6-8 years
38305,21-23 years
38307,0-2 years
38308,6-8 years
38309,3-5 years
38310,27-29 years
38312,9-11 years
38314,6-8 years
38315,NA
38316,NA
38317,15-17 years
38319,NA
38320,NA
38321,0-2 years
38322,3-5 years
38323,15-17 years
38324,0-2 years
38325,0-2 years
38326,6-8 years
38329,3-5 years
38330,12-14 years
38332,0-2 years
38334,12-14 years
38335,NA
38336,0-2 years
38339,12-14 years
38342,12-14 years
38343,3-5 years
38345,6-8 years
38346,6-8 years
38347,12-14 years
38349,0-2 years
38350,0-2 years
38352,0-2 years
38354,6-8 years
38355,0-2 years
38356,3-5 years
38357,9-11 years
38358,6-8 years
38359,3-5 years
38360,3-5 years
38362,3-5 years
38364,9-11 years
38365,9-11 years
38366,0-2 years
38367,NA
38369,18-20 years
38371,3-5 years
38372,9-11 years
38374,6-8 years
38375,0-2 years
38376,9-11 years
38377,3-5 years
38378,3-5 years
38379,0-2 years
38380,0-2 years
38381,3-5 years
38382,12-14 years
38383,6-8 years
38384,0-2 years
38385,0-2 years
38386,3-5 years
38387,NA
38389,12-14 years
38390,0-2 years
38391,NA
38392,0-2 years
38393,3-5 years
38394,3-5 years
38395,6-8 years
38396,0-2 years
38397,6-8 years
38398,3-5 years
38400,18-20 years
38403,6-8 years
38404,0-2 years
38405,0-2 years
38406,0-2 years
38408,3-5 years
38409,NA
38410,NA
38411,9-11 years
38413,0-2 years
38414,12-14 years
38417,6-8 years
38419,12-14 years
38423,NA
38424,6-8 years
38425,NA
38426,3-5 years
38428,9-11 years
38429,NA
38432,15-17 years
38433,3-5 years
38434,NA
38435,3-5 years
38436,0-2 years
38437,9-11 years
38438,0-2 years
38439,30 or more years
38442,3-5 years
38444,6-8 years
38445,3-5 years
38446,NA
38447,21-23 years
38448,6-8 years
38449,12-14 years
38451,0-2 years
38452,0-2 years
38453,NA
38454,15-17 years
38455,9-11 years
38456,6-8 years
38460,3-5 years
38462,NA
38463,0-2 years
38465,3-5 years
38466,3-5 years
38467,6-8 years
38468,NA
38473,3-5 years
38475,3-5 years
38476,0-2 years
38477,6-8 years
38478,3-5 years
38480,3-5 years
38481,NA
38482,3-5 years
38484,3-5 years
38487,6-8 years
38489,0-2 years
38491,3-5 years
38492,6-8 years
38493,0-2 years
38494,9-11 years
38495,12-14 years
38496,3-5 years
38497,NA
38498,3-5 years
38499,3-5 years
38500,NA
38501,6-8 years
38504,9-11 years
38505,NA
38507,15-17 years
38508,9-11 years
38509,21-23 years
38510,12-14 years
38512,3-5 years
38513,0-2 years
38514,6-8 years
38516,3-5 years
38517,18-20 years
38518,6-8 years
38519,6-8 years
38520,3-5 years
38521,0-2 years
38523,15-17 years
38524,0-2 years
38525,3-5 years
38526,9-11 years
38527,NA
38528,3-5 years
38529,0-2 years
38531,6-8 years
38533,0-2 years
38535,12-14 years
38537,NA
38539,3-5 years
38540,0-2 years
38541,3-5 years
38543,0-2 years
38544,18-20 years
38545,6-8 years
38546,9-11 years
38547,NA
38548,3-5 years
38550,24-26 years
38551,NA
38553,3-5 years
38554,18-20 years
38559,0-2 years
38560,18-20 years
38561,3-5 years
38562,9-11 years
38563,6-8 years
38564,0-2 years
38568,NA
38569,NA
38570,21-23 years
38571,30 or more years
38572,3-5 years
38574,6-8 years
38575,3-5 years
38577,12-14 years
38578,6-8 years
38580,3-5 years
38581,18-20 years
38582,3-5 years
38583,NA
38586,NA
38587,NA
38588,NA
38589,NA
38593,3-5 years
38594,12-14 years
38595,NA
38597,3-5 years
38598,12-14 years
38599,3-5 years
38600,18-20 years
38601,12-14 years
38602,NA
38603,NA
38604,9-11 years
38605,6-8 years
38606,9-11 years
38608,3-5 years
38609,21-23 years
38610,6-8 years
38611,0-2 years
38613,30 or more years
38614,0-2 years
38615,6-8 years
38616,9-11 years
38617,30 or more years
38618,3-5 years
38619,9-11 years
38620,12-14 years
38621,3-5 years
38622,9-11 years
38623,3-5 years
38624,15-17 years
38627,9-11 years
38628,3-5 years
38630,3-5 years
38631,12-14 years
38632,6-8 years
38633,NA
38634,9-11 years
38636,3-5 years
38637,0-2 years
38638,NA
38640,9-11 years
38642,0-2 years
38643,18-20 years
38644,0-2 years
38645,NA
38646,9-11 years
38647,12-14 years
38648,9-11 years
38652,3-5 years
38655,NA
38656,9-11 years
38659,6-8 years
38660,NA
38661,NA
38662,3-5 years
38665,0-2 years
38666,0-2 years
38667,15-17 years
38668,9-11 years
38670,9-11 years
38671,NA
38672,3-5 years
38673,NA
38674,3-5 years
38675,9-11 years
38676,15-17 years
38677,3-5 years
38678,6-8 years
38679,21-23 years
38680,0-2 years
38681,3-5 years
38682,3-5 years
38683,6-8 years
38684,0-2 years
38685,0-2 years
38687,NA
38688,6-8 years
38689,6-8 years
38690,0-2 years
38691,0-2 years
38692,NA
38693,3-5 years
38695,0-2 years
38696,6-8 years
38697,0-2 years
38699,6-8 years
38701,0-2 years
38702,NA
38705,12-14 years
38706,NA
38707,NA
38709,18-20 years
38711,NA
38712,9-11 years
38714,6-8 years
38715,0-2 years
38716,3-5 years
38718,3-5 years
38719,0-2 years
38720,6-8 years
38721,24-26 years
38722,12-14 years
38723,3-5 years
38724,3-5 years
38727,30 or more years
38729,9-11 years
38730,15-17 years
38731,15-17 years
38732,3-5 years
38734,30 or more years
38735,0-2 years
38737,3-5 years
38738,6-8 years
38739,6-8 years
38740,3-5 years
38741,9-11 years
38742,0-2 years
38743,9-11 years
38744,3-5 years
38746,6-8 years
38748,0-2 years
38750,9-11 years
38751,0-2 years
38752,3-5 years
38753,0-2 years
38754,3-5 years
38755,12-14 years
38756,0-2 years
38757,3-5 years
38758,6-8 years
38760,0-2 years
38761,6-8 years
38762,0-2 years
38765,0-2 years
38766,3-5 years
38767,3-5 years
38768,6-8 years
38769,3-5 years
38770,3-5 years
38772,9-11 years
38773,21-23 years
38774,9-11 years
38775,9-11 years
38776,3-5 years
38778,3-5 years
38779,18-20 years
38780,3-5 years
38781,3-5 years
38782,15-17 years
38787,6-8 years
38789,3-5 years
38791,6-8 years
38792,0-2 years
38793,3-5 years
38794,0-2 years
38795,27-29 years
38796,NA
38797,0-2 years
38798,6-8 years
38799,0-2 years
38800,3-5 years
38802,0-2 years
38803,0-2 years
38804,9-11 years
38807,6-8 years
38808,NA
38813,NA
38814,9-11 years
38815,3-5 years
38816,3-5 years
38817,NA
38818,6-8 years
38819,9-11 years
38820,3-5 years
38823,6-8 years
38824,6-8 years
38825,3-5 years
38826,21-23 years
38827,0-2 years
38828,NA
38829,9-11 years
38830,NA
38831,0-2 years
38832,18-20 years
38834,3-5 years
38835,NA
38836,3-5 years
38837,0-2 years
38838,3-5 years
38839,NA
38841,6-8 years
38843,NA
38844,NA
38845,0-2 years
38846,3-5 years
38847,12-14 years
38848,3-5 years
38850,0-2 years
38851,18-20 years
38852,15-17 years
38853,9-11 years
38856,18-20 years
38859,0-2 years
38860,0-2 years
38861,3-5 years
38862,30 or more years
38864,6-8 years
38869,0-2 years
38870,0-2 years
38871,9-11 years
38873,3-5 years
38875,3-5 years
38876,NA
38878,3-5 years
38881,6-8 years
38882,0-2 years
38883,6-8 years
38884,3-5 years
38885,NA
38886,3-5 years
38887,9-11 years
38888,3-5 years
38889,0-2 years
38890,24-26 years
38891,3-5 years
38892,0-2 years
38893,0-2 years
38894,9-11 years
38896,0-2 years
38898,3-5 years
38899,0-2 years
38900,3-5 years
38902,NA
38904,NA
38906,6-8 years
38908,3-5 years
38909,0-2 years
38910,18-20 years
38914,3-5 years
38916,3-5 years
38917,9-11 years
38919,3-5 years
38922,NA
38923,0-2 years
38925,0-2 years
38926,3-5 years
38927,0-2 years
38929,15-17 years
38930,6-8 years
38931,3-5 years
38932,6-8 years
38933,0-2 years
38934,9-11 years
38935,3-5 years
38938,0-2 years
38939,3-5 years
38940,0-2 years
38941,NA
38942,0-2 years
38944,9-11 years
38945,18-20 years
38946,0-2 years
38947,0-2 years
38948,NA
38949,3-5 years
38950,6-8 years
38952,12-14 years
38954,0-2 years
38957,9-11 years
38958,9-11 years
38960,3-5 years
38961,NA
38962,3-5 years
38964,NA
38967,3-5 years
38968,3-5 years
38969,9-11 years
38970,NA
38972,12-14 years
38973,0-2 years
38974,9-11 years
38975,9-11 years
38976,0-2 years
38977,NA
38978,6-8 years
38979,6-8 years
38981,3-5 years
38982,6-8 years
38983,3-5 years
38984,6-8 years
38986,0-2 years
38988,3-5 years
38989,0-2 years
38990,3-5 years
38991,3-5 years
38992,3-5 years
38993,18-20 years
38994,3-5 years
38995,3-5 years
38996,9-11 years
38997,3-5 years
